Appendix I. List of PaleoDEMS & Paleogeographic Maps,,,
Map ID Number,Stratigraphic Age Description,Plate Model Age,Map#
1,"Present-day  (Holocene, 0 Ma)",0,1
2,"Last Glacial Maximum  (Pleistocene, 21 ky)",0,2
2.1,Late Pleistocene (122 ky),0,3
2.2,Middle Pleistocene (454 ky),0,4
2.3,"Early Pleistocene (Calabrian, 1.29 Ma)",0,5
2.4,"Early Pleistocene (Gelasian, 2.19)",0,6
2.5,"Late Pliocene (Piacenzian, 3.09)",5,7
3,"Early Pliocene (Zanclean, 4.47 Ma)",5,8
4,"latest Miocene (Messinian, 6.3 Ma)",5,9
5,"Middle/Late Miocene  (Serravallian&Tortonian, 10.5 Ma)",10,10
6,"Middle Miocene (Langhian, 14.9 Ma)",15,11
7,"Early Miocene  (Aquitanian&Burdigalian, 19.5 Ma)",20,12
8,"Late Oligocene (Chattian, 25.6 Ma)",25,13
9,"Early Oligocene  (Rupelian, 31 Ma)  ",30,14
10,"Late Eocene (Priabonian, 35.9 Ma)",35,15
11,"late Middle Eocene  (Bartonian, 39.5 Ma)",40,16
12,"early Middle Eocene (Lutetian, 44.5 Ma)",45,17
13,"Early Eocene  (Ypresian, 51.9 Ma)",50,18
14,"Paleocene/Eocene Boundary (PETM, 56 Ma)",55,19
15,"Paleocene  (Danian&Thanetian, 61 Ma)",60,20
16,"KT Boundary (latest Maastrichtian, 66 Ma)",65,21
17,"Late Cretaceous  (Maastrichtian, 69 Ma)",70,22
18,"Late Cretaceous (Late Campanian, 75 Ma) ",75,23
19,"Late Cretaceous  (Early Campanian, 80.8 Ma)",80,24
20,"Late Cretaceous (Santonian&Coniacian, 86.7 Ma) ",85,25
21,"Mid-Cretaceous  (Turonian , 91.9 Ma)  ",90,26
22,"Mid-Cretaceous (Cenomanian, 97.2 Ma) ",95,27
23,"Early Cretaceous  (late Albian, 102.6 Ma)",100,28
24,"Early Cretaceous (middle Albian, 107 Ma)",105,29
25,"Early Cretaceous  (early Albian, 111 Ma)",110,30
26,"Early Cretaceous (late Aptian, 115.8 Ma)",115,31
27,"Early Cretaceous  (early Aptian, 121.8 Ma)",120,32
28,"Early Cretaceous (Barremian, 127.2 Ma)",125,33
29,"Early Cretaceous  (Hauterivian, 131.2 Ma)  ",130,34
30,"Early Cretaceous (Valanginian, 136.4 Ma)",135,35
31,"Early Cretaceous  (Berriasian, 142.4 Ma)",140,36
